<span class="target">上个</span>星期五我跟他见面了。		Shàng gè Xīngqīwǔ wǒ gēn tā jiànmiàn le.	I met him last Friday.			<a href="https://resources.allsetlearning.com/chinese/grammar/ASGVH4Q5">A1: Structure of days of the week</a>	CGW
<span class="target">这个</span>星期三<span class="target">晚上</span>你有空吗？		Zhège Xīngqīsān wǎnshang nǐ yǒu kòng ma?	Are you free this Wednesday evening?			<a href="https://resources.allsetlearning.com/chinese/grammar/ASGVH4Q5">A1: Structure of days of the week</a>	CGW
<span class="target">下个</span>星期四是我的生日。		Xià gè Xīngqīsì shì wǒ de shēngrì.	My birthday is on next Thursday.			<a href="https://resources.allsetlearning.com/chinese/grammar/ASGVH4Q5">A1: Structure of days of the week</a>	CGW
Words for week other than 星期 = __ and __		礼拜 (lǐbài) and 周 (zhōu)	礼拜 (lǐbài) and 周 (zhōu)			<a href="https://resources.allsetlearning.com/chinese/grammar/ASGVH4Q5">A1: Structure of days of the week</a>	CGW
A:这是<span class="target">什么</span>？<br>B:这是我的iPad。		Zhè shì shénme?<br>Zhè shì wǒ de iPad.	What is this?<br>This is my iPad.			<a href="https://resources.allsetlearning.com/chinese/grammar/ASGJQPSC">Placement of question words</a>	CGW
A:你喜欢吃<span class="target">什么</span>菜？<br>B:我喜欢吃中国菜。		Nǐ xǐhuan chī shénme cài?<br>Wǒ xǐhuan chī Zhōngguó cài.	What kind of food do you like?<br>I like Chinese food.			<a href="https://resources.allsetlearning.com/chinese/grammar/ASGJQPSC">Placement of question words</a>	CGW
A:他开<span class="target">什么</span>车？<br>B:他开<span class="target">宝马</span>。		Tā kāi shénme chē?<br>Tā kāi Bǎomǎ.	What kind of car does he drive?<br>He drives a BMW.			<a href="https://resources.allsetlearning.com/chinese/grammar/ASGJQPSC">Placement of question words</a>	CGW
A:你要去<span class="target">哪儿</span>？<br>B:我要去<span class="target">洗手间</span>。		Nǐ yào qù nǎr?<br>Wǒ yào qù xǐshǒujiān.	Where are you going now?<br>I'm going to the bathroom.			<a href="https://resources.allsetlearning.com/chinese/grammar/ASGJQPSC">Placement of question words</a>	CGW
A:这个<span class="target">周末</span>你想去哪儿？<br>B:我想去<span class="target">公园</span>。		Zhège zhōumò nǐ xiǎng qù nǎr?<br>Wǒ xiǎng qù gōngyuán.	Where do you want to go this weekend?<br>I want to go to the park.			<a href="https://resources.allsetlearning.com/chinese/grammar/ASGJQPSC">Placement of question words</a>	CGW
A:你要<span class="target">哪个</span>？<br>B:我要这个。		Nǐ yào nǎge?<br>Wǒ yào zhège.	Which one do you want?<br>I want this one.			<a href="https://resources.allsetlearning.com/chinese/grammar/ASGJQPSC">Placement of question words</a>	CGW
A:你不喜欢<span class="target">谁</span>？<br>B:我不喜欢我的<span class="target">老板</span>。		Nǐ bù xǐhuan shéi?<br>Wǒ bù xǐhuan wǒ de lǎobǎn.	Who do you not like?<br>I don't like my boss.			<a href="https://resources.allsetlearning.com/chinese/grammar/ASGJQPSC">Placement of question words</a>	CGW
A:你<span class="target">什么时候</span>回来？<br>B:我周末<span class="target">回来</span>。		Nǐ shénme shíhou huílái?<br>Wǒ zhōumò huílái.	When are you coming back?<br>I am coming back this weekend.			<a href="https://resources.allsetlearning.com/chinese/grammar/ASGJQPSC">Placement of question words</a>	CGW
A:你的<span class="target">飞机</span>什么时候到上海？<br>B:晚上八点。		Nǐ de fēijī shénme shíhou dào Shànghǎi?<br>Wǎnshang bā diǎn.	When is your airplane arriving in Shanghai?<br>Eight o'clock this evening.			<a href="https://resources.allsetlearning.com/chinese/grammar/ASGJQPSC">Placement of question words</a>	CGW
A:你<span class="target">为什么</span>学中文？<br>B:<span class="target">因为</span>我在中国工作。		Nǐ wèishénme xué Zhōngwén?<br>Yīnwèi wǒ zài Zhōngguó gōngzuò.	Why do you study Chinese?<br>Because I'm working in China.			<a href="https://resources.allsetlearning.com/chinese/grammar/ASGJQPSC">Placement of question words</a>	CGW
A:<span class="target">这些</span>外国人<span class="target">为什么</span>不喜欢中国？<br>B:<span class="target">因为</span>中国人太多。		Zhèxiē wàiguó rén wèishénme bù xǐhuan Zhōngguó?<br>Yīnwèi Zhōngguó rén tài duō.	Why do these foreigners not like China?<br>Because China has a lot of people.			<a href="https://resources.allsetlearning.com/chinese/grammar/ASGJQPSC">Placement of question words</a>	CGW
A:你<span class="target">怎么</span>上网？<br>B:我用<span class="target">手机</span>上网。		Nǐ zěnme shàngwǎng?<br>Wǒ yòng shǒujī shàngwǎng.	How do you go online?<br>I use my cell phone to go online.			<a href="https://resources.allsetlearning.com/chinese/grammar/ASGJQPSC">Placement of question words</a>	CGW
A:你<span class="target">怎么</span>去<span class="target">北京</span>？<br>B:我坐<span class="target">火车</span>去。		Nǐ zěnme qù Běijīng?<br>Wǒ zuò huǒchē qù.	How do you go to Beijing?<br>I take the train.			<a href="https://resources.allsetlearning.com/chinese/grammar/ASGJQPSC">Placement of question words</a>	CGW
A:你<span class="target">怎么</span>买<span class="target">票</span>？<br>B:我<span class="target">上网</span>买<span class="target">票</span>。		Nǐ zěnme mǎi piào?<br>Wǒ shàngwǎng mǎi piào.	How do you buy tickets?<br>I go online to buy tickets.			<a href="https://resources.allsetlearning.com/chinese/grammar/ASGJQPSC">Placement of question words</a>	CGW
<span class="target">早饭</span>我要吃肉。		Zǎofàn wǒ yào chī ròu.	For breakfast I want to eat meat.			<a href="https://resources.allsetlearning.com/chinese/grammar/ASGXVEAR">A1: Wanting to do something with "yao"</a>	CGW
<span class="target">宝宝</span>要睡觉。		Bǎobao yào shuìjiào.	The baby wants to sleep.			<a href="https://resources.allsetlearning.com/chinese/grammar/ASGXVEAR">A1: Wanting to do something with "yao"</a>	CGW
我<span class="target">要</span>喝咖啡。<br>我<span class="target">想</span>喝咖啡。		Wǒ yào hē kāfēi.<br>Wǒ xiǎng hē kāfēi.	I want to drink coffee. (I am going to get my hands on some coffee.)<br>I'd like to drink coffee. (I want to drink a cup of coffee, but may or may not act on that.)			<a href="https://resources.allsetlearning.com/chinese/grammar/ASGXVEAR">A1: Wanting to do something with "yao"</a>	CGW
我<span class="target">没有</span>喝你的啤酒。		Wǒ méiyǒu hē nǐ de píjiǔ.	I didn't drink your beer.			<a href="https://resources.allsetlearning.com/chinese/grammar/ASGAUCXK">A1: Negation of past actions with "meiyou"</a>	CGW
你昨天<span class="target">没</span>回家吗？		Nǐ zuótiān méi huíjiā ma?	You didn't go back home yesterday?			<a href="https://resources.allsetlearning.com/chinese/grammar/ASGAUCXK">A1: Negation of past actions with "meiyou"</a>	CGW
宝宝没<span class="target">哭</span>。		Bǎobao méi kū.	The baby didn't cry.			<a href="https://resources.allsetlearning.com/chinese/grammar/ASGAUCXK">A1: Negation of past actions with "meiyou"</a>	CGW
我没有做了。		我没有做<span class="target">了</span>。<br>我没有做。<br><br>Wǒ méiyǒu zuò le.<br>Wǒ méiyǒu zuò.	"I didn't do it.<br><br>了 (le) marks completed actions, while 没有 (méiyǒu) is used for actions that didn't happen (so of course they're not completed)."			<a href="https://resources.allsetlearning.com/chinese/grammar/ASGAUCXK">A1: Negation of past actions with "meiyou"</a>	<span class="red">訂</span> CGW <span class="red">正</span>
我<span class="target">也</span>喜欢。		Wǒ yě xǐhuan.	I also like it.			<a href="https://resources.allsetlearning.com/chinese/grammar/ASGG25MD">A1: The "also" adverb "ye"</a>	CGW
他们也是<span class="target">法国</span>人吗？		Tāmen yě shì Fǎguó rén ma?	Are they also French?			<a href="https://resources.allsetlearning.com/chinese/grammar/ASGG25MD">A1: The "also" adverb "ye"</a>	CGW
我妈妈也喜欢吃<span class="target">饺子</span>。		Wǒ māma yě xǐhuan chī jiǎozi.	My mother likes to eat boiled dumplings too.			<a href="https://resources.allsetlearning.com/chinese/grammar/ASGG25MD">A1: The "also" adverb "ye"</a>	CGW
<span class="target">孩子</span>也可以喝酒吗？		Háizi yě kěyǐ hējiǔ ma?	Can kids drink alcohol too?			<a href="https://resources.allsetlearning.com/chinese/grammar/ASGG25MD">A1: The "also" adverb "ye"</a>	CGW
她也<span class="target">觉得</span>这个老师不好。		Tā yě juéde zhège lǎoshī bù hǎo.	She also thinks this teacher isn't good.			<a href="https://resources.allsetlearning.com/chinese/grammar/ASGG25MD">A1: The "also" adverb "ye"</a>	CGW
我也喜欢。		Wǒ yě xǐhuan.	I also like it.			<a href="https://resources.allsetlearning.com/chinese/grammar/ASGG25MD">A1: The "also" adverb "ye"</a>	CGW
我喜欢也。		我喜欢<span class="target">也</span>。<br>我<span class="target">也</span>喜欢。<br><br>Wǒ xǐhuan yě.<br>Wǒ yě xǐhuan.	I like it too.<br><br>(也 *must* go before verb.)			<a href="https://resources.allsetlearning.com/chinese/grammar/ASGG25MD">A1: The "also" adverb "ye"</a>	<span class="red">訂</span> CGW <span class="red">正</span>
我也<span class="target">不</span>喜欢。		Wǒ yě bù xǐhuan.	I don't like it either.			<a href="https://resources.allsetlearning.com/chinese/grammar/ASGG25MD">A1: The "also" adverb "ye"</a>	CGW
他也<span class="target">没有</span>。		Tā yě méiyǒu.	He doesn't have it either.			<a href="https://resources.allsetlearning.com/chinese/grammar/ASGG25MD">A1: The "also" adverb "ye"</a>	CGW
你<span class="target">也</span>很高。		Nǐ yě hěn gāo.	You are also tall.			<a href="https://resources.allsetlearning.com/chinese/grammar/ASGG25MD">A1: The "also" adverb "ye"</a>	CGW
我爸爸也很<span class="target">帅</span>。		Wǒ bàba yě hěn shuài.	My dad is also handsome.			<a href="https://resources.allsetlearning.com/chinese/grammar/ASGG25MD">A1: The "also" adverb "ye"</a>	CGW
湖南菜也很<span class="target">辣</span>。		Húnán cài yě hěn là.	Hunan food is very spicy too.			<a href="https://resources.allsetlearning.com/chinese/grammar/ASGG25MD">A1: The "also" adverb "ye"</a>	CGW
这<span class="target">种</span>酒也很好喝。		Zhè zhǒng jiǔ yě hěn hǎohē.	This kind of alcohol is also good.			<a href="https://resources.allsetlearning.com/chinese/grammar/ASGG25MD">A1: The "also" adverb "ye"</a>	CGW
这个地方也很<span class="target">漂亮</span>。		Zhège dìfang yě hěn piàoliang.	This place is also pretty.			<a href="https://resources.allsetlearning.com/chinese/grammar/ASGG25MD">A1: The "also" adverb "ye"</a>	CGW
这个问题也很<span class="target">麻烦</span>。		Zhège wèntí yě hěn máfan.	This problem is also very troublesome.			<a href="https://resources.allsetlearning.com/chinese/grammar/ASGG25MD">A1: The "also" adverb "ye"</a>	CGW
我觉得这个<span class="target">餐厅</span>也很好。		Wǒ juéde zhège cāntīng yě hěn hǎo.	I think that this restaurant is also good.			<a href="https://resources.allsetlearning.com/chinese/grammar/ASGG25MD">A1: The "also" adverb "ye"</a>	CGW
<span class="target">我也是</span>。		Wǒ yě shì.	I am too. / Me too.			<a href="https://resources.allsetlearning.com/chinese/grammar/ASGG25MD">A1: The "also" adverb "ye"</a>	CGW
我们<span class="target">不</span>喝酒。		Wǒmen bù hējiǔ.	We don't drink alcohol.			<a href="https://resources.allsetlearning.com/chinese/grammar/ASGIPYFV">A1: Standard negation with "bu"</a>	CGW
他们不是<span class="target">坏</span>孩子。		Tāmen bù shìhuài háizi.	They are not bad kids.			<a href="https://resources.allsetlearning.com/chinese/grammar/ASGIPYFV">A1: Standard negation with "bu"</a>	CGW
为什么你<span class="target">不喜欢</span>喝咖啡？		Wèishénme nǐ bù xǐhuan hēkāfēi?	Why don't you like to drink coffee?			<a href="https://resources.allsetlearning.com/chinese/grammar/ASGIPYFV">A1: Standard negation with "bu"</a>	CGW
